CSD code,Largest included sphere diameter (A),Total volumetric surface area (m^2/m^3),CO2 uptake at LP (mol/kg),CO2 uptake at HP (mol/kg),CH4 uptake at HP (mol/kg),logKH_CO2,Band gap (eV),DOI,Journal
XOJPES,4.42711,295.975,0.0287402747,2.7102771264000003,3.5803613818,-5.700255244408864,,10.1021/cg800262d,Journal(Crystal Growth and Design)
WUTKUR,4.87302,314.466,1.4713406207,3.2726507235,3.1492073612,-3.6964130374570336,,10.1016/S0040-4039(03)00148-5,Journal(Tetrahedron Letters)
ROLCEC01,4.84811,1921.22,5.3990296339,17.8476292145,4.1540698279,-3.588624442882994,,10.1002/chem.201403466,Journal(Chemistry-A European Journal)
IDIWUN,10.73827,1570.81,0.3358333331,12.6197775948,10.36247478,-4.640122797050145,,10.1002/1521-3773(20020118)41:2<284::AID-ANIE284>3.0.CO;2-M,"Journal(Angewandte Chemie, International Edition)"
NATHIC,10.98926,1688.93913,1.5626408748,19.0846082372,16.0958559047,-3.7666256340414455,,10.1039/C6CC10217D,Journal(Chemical Communications)
IMULEH,8.24491,1578.92,0.5433296627,11.0459920987,9.3640933968,-4.434713113742327,,10.1021/ic035111o,Journal(Inorganic Chemistry)
ZUBCEG,4.68192,188.298,2.2329716626,2.8153311318,1.6472587619,-0.6483428132599608,,10.4236/ojic.2014.42004,Journal(Open Journal of Inorganic Chemistry)
KOSLOV,11.06557,1484.2,1.2220295376,11.1546939666,7.4734360791,-4.016845695138711,,10.1021/ja506230r,Journal(Journal of the American Chemical Society)
COWXOC,5.83443,576.242,0.9454133934,3.8163617348,2.8661428056,-3.613406516572928,,10.1021/cg8008859,Journal(Crystal Growth and Design)
RUFZOJ,11.51038,1842.13,0.8363546798,12.3459965785,10.229866235,-4.170905382275718,,10.1021/acs.cgd.5b00018,Journal(Crystal Growth and Design)
KOFVOS,5.23992,930.565,1.3883491951,6.4456903218,4.9639934639,-3.9744442824368176,,10.1002/zaac.201300500,Journal(Zeitschrift fur Anorganische und Allgemeine Chemie)
YEGHIC,7.13593,1480.76904,1.3510580845,11.6907625907,2.7319006517,-3.97518606737069,,10.1002/anie.200600455,"Journal(Angewandte Chemie, International Edition)"
cg200606r,4.89412,586.926,2.2565491199,5.8258454538,5.4804876225,-3.552894707618371,,"Not a valid ref code, thus does not exist.","Not a valid ref code, thus does not exist."
FUTJOV,4.40992,130.988,0.1486848349,3.2925901755,0.9123815995,-4.998673088026886,,10.1021/ic0483491,Journal(Inorganic Chemistry)
CEXHET,5.56033,942.013,1.313946558,6.6274521954,6.274227224,-3.950003272379799,,10.1021/ja0645483,Journal(Journal of the American Chemical Society)
QOFDEW,7.03046,847.16,0.7116232205,4.3604631588,3.9726371677,-4.25145925200076,,10.1039/C3DT53580K,Journal(Dalton Transactions)
GETXEK,8.05766,1982.86,1.5606888205,17.2065588032,12.288578596,-3.666460032165446,,10.1080/15533174.2012.756030,"Journal(Synthesis and Reactivity in Inorganic, Metal-Organic, and Nano-Metal Chemistry)"
WICQOP,4.01528,12.2762,2.3775207006,3.9194936985,3.2125622749,-2.890235896809132,,10.1039/b701102d,Journal(CrystEngComm)
XUJPOI,5.22333,883.289,1.6934769794,6.4745942916,5.61432182,-3.8433448622513446,,10.1039/B902223F,Journal(Chemical Communications)
CUMKIG,4.5976,266.678,1.0757903065,3.4653217972,2.6476330946,-3.951752468196026,,10.1080/15533174.2013.865219,"Journal(Synthesis and Reactivity in Inorganic, Metal-Organic, and Nano-Metal Chemistry)"
PEKVUY,5.4281,804.473,2.2550231227,2.8424883271,2.4354752404,-1.0321577579482029,,10.1021/cg301387p,Journal(Crystal Growth and Design)
PECBOQ,4.1758,46.9089,1.0337203075,2.7615140219,1.2686387746,-2.898105208593377,,10.1016/j.ica.2012.01.011,Journal(Inorganica Chimica Acta)
HOYTUL,5.4823,418.427,0.9076794896,4.1806884245,2.8580689513,-3.98678346037556,,10.1002/anie.200805302,"Journal(Angewandte Chemie, International Edition)"
NUTYEI,13.08518,1604.85,1.0559765377,16.3591589448,11.7507331877,-3.8990094769300354,,10.1039/C5CE01725D,Journal(CrystEngComm)
QEFNAQ,6.2895,707.3263,0.5651490522,4.1225998686,4.7067793747,-4.320360459120666,,10.1021/ja002624a,Journal(Journal of the American Chemical Society)
DEPTOH,5.8241,702.094,3.3681121934,4.2770776459,4.2990216918,-2.519174134740936,,10.1016/S1387-1811(98)00298-4,Journal(Microporous and Mesoporous Materials)
SIKYER,6.53029,1604.88,5.3758546553,10.1991426221,7.5550326247,-2.3583058234006744,,10.1039/b706823a,Journal(Dalton Transactions)
HOJNUR,3.99148,18.3794,0.3694240962,4.2646141911,2.784728054,-4.574925749137861,,10.1021/ja411934f,Journal(Journal of the American Chemical Society)
KEDJAG16,5.644,2187.15014,0.0956755703,8.4560610389,7.4812256055,-5.199028741433535,,"Not a valid ref code, thus does not exist.","Not a valid ref code, thus does not exist."
ILUGOM,7.1541,410.339,2.0693492401,4.6535046771,3.7461645122,-3.6437771287708407,,10.1039/c0dt00516a,Journal(Dalton Transactions)
QAQNOO,9.00524,1807.39,0.3034294677,11.4069070731,9.6604343547,-4.692471872547083,,10.1021/acs.inorgchem.7b00681,Journal(Inorganic Chemistry)
AFOYAW,5.94533,1362.305503,1.2678854603,9.8248430975,7.5831883261,-4.088184786699517,,10.1039/b806671j,Journal(CrystEngComm)
MIFTUS,6.04963,319.2648,0.7924874209,2.7570136945,2.2060722672,-3.963271324170564,,10.1021/cg301668g,Journal(Crystal Growth and Design)
EFESEP,10.28948,1398.039,2.4853521923,11.6413758832,8.5109203569,-3.097738133031082,,10.1002/anie.201404265,"Journal(Angewandte Chemie, International Edition)"
IXAKAU,6.35523,2329.16,0.6523783468000001,15.4749611537,11.5172839533,-4.372829824857799,,10.1021/ic102188v,Journal(Inorganic Chemistry)
UVIPIZ,13.16154,1937.89,0.4662574402,13.7111708488,10.2787571019,-4.42078135350686,,10.1039/c1cc12341f,Journal(Chemical Communications)
ODIMAQ,8.52073,929.586,0.1799252992,5.1889925038,2.7212883534,-4.913124306151482,,10.1021/ic070097r,Journal(Inorganic Chemistry)
YURKIG,6.91612,1983.56,3.776919026,11.5371092875,8.3801828711,-1.6559183284354009,,,Journal(CrystEngComm)
HIMSAY,5.16871,573.561,3.3030698864,7.6492574073,6.676910582,-3.097204347236528,,10.1021/ja073505z,Journal(Journal of the American Chemical Society)
XUJQAV,5.23926,904.328,1.6950694721,6.5605844836,5.6570588528,-3.829058031692451,,10.1039/B902223F,Journal(Chemical Communications)
EPONAA,9.18286,2632.18,1.6860368096,30.9077659363,9.9762749687,-3.912612606366437,,10.1021/acs.cgd.6b00626,Journal(Crystal Growth and Design)
LIKDOA,18.48324,1898.47,0.2105166884,19.2620070544,15.1195943822,-4.849867058938964,,10.1002/chem.201302515,Journal(Chemistry-A European Journal)
SATRIP,5.64735,1667.0,2.8140387239,6.9371765997,4.0730628005,-1.044609094960618,,10.1016/j.jssc.2005.06.032,Journal(Journal of Solid State Chemistry)
acs.inorgchem.6b01168,6.6916,1391.43,1.1158904269,8.0184482006,5.8982541263,-3.996746324042012,,"Not a valid ref code, thus does not exist.","Not a valid ref code, thus does not exist."
OKUSUK,24.78598,1550.94,0.2145781108,19.6040091144,23.1296371595,-4.844066080471553,,10.1038/nature17430,Journal(Nature (London))
XEXLUJ,8.72919,1264.24,0.479543526,7.5232376852,6.3366531736,-4.48983315143668,,10.1021/ic302334x,Journal(Inorganic Chemistry)
QUQGAL,5.24917,795.84,1.9171240884,9.5103923179,6.6579567157,-3.8316704918709688,,10.1021/cg100449z,Journal(Crystal Growth and Design)
DEHBIC,3.96623,39.2106,1.4727415339,2.5845077666,1.1743147532,-3.6685524571222032,,10.1016/j.poly.2005.11.034,Journal(Polyhedron)
YEBKUM,4.09909,96.5169,0.1339996389,3.5863949219,1.2094343978,-5.018321802687617,,10.1016/j.jssc.2005.09.044,Journal(Journal of Solid State Chemistry)
KOKDEU,4.24386,37.0494,0.4892486775,1.7086002423000002,0.9875839511,-4.129685069820148,,10.1002/chem.200801300,Journal(Chemistry-A European Journal)
AJOTEY,5.91075,1524.06,8.8133131168,11.3320445352,5.0269464355,-1.9124031255852865,,10.1016/S1293-2558(02)00020-1,Journal(Solid State Sciences)
XOVQIJ,7.41561,1393.73,0.8971052661000001,9.0453021947,7.8734425931,-4.130995463956014,,10.1021/ic801631w,Journal(Inorganic Chemistry)
CIWRIK,8.18288,1569.61,0.6970621305,8.1149328763,6.4855000316,-4.267444616198032,,10.1021/ja0752540,Journal(Journal of the American Chemical Society)
LOQLEJ,14.69858,1261.03,1.8702499199,11.404522883,8.9836233407,-2.9853786695775453,,10.1021/ic801624v,Journal(Inorganic Chemistry)
DEPJIR,3.91385,11.3819,0.0336025295,3.0742797659,3.5903915741,-5.620357332258847,,10.1107/S0108270185009362,"Journal(Acta Crystallographica,Section C: Crystal Structure Communications [1983-2014])"
AXUBOL,7.85983,1301.082,0.8671782175,8.2907919942,8.307984888,-4.183935105803248,,10.1021/cg200579j,Journal(Crystal Growth and Design)
WELTIR,7.31149,562.012,1.9971621255,2.8556350245,1.9918158553,-2.6635282581751216,,10.1039/b604804h,Journal(Dalton Transactions)
IJANAJ,4.15369,40.8242,0.3442435642,2.8928371238,2.5419754206,-4.588343262752803,,10.5012/bkcs.2010.31.9.2598,Journal(Bulletin of the Korean Chemical Society)
NETFAU,5.9815000000000005,566.754,3.4886751398,4.6317173434,2.3835767626,-2.621162575657468,,10.1039/b614215j,Journal(CrystEngComm)
MAJJUF,9.38886,2482.91,0.8302998453,22.7075231308,17.3243710791,-4.283843845002185,,10.1039/C5CE02501J,Journal(CrystEngComm)
NUJCEA,4.83502,270.808,0.2234950805,1.7873848747,1.1123579679,-4.7731887981454255,,,Journal(Bulletin of the Korean Chemical Society)
YONNAR,11.86103,2064.24,2.0963409764,20.5210185479,14.0486991659,-3.642854457170432,,10.1039/b813532k,Journal(Dalton Transactions)
DIBXIX,4.25156,99.1739,1.9111586344,3.469403827,1.6905715161,-1.1001898901344729,,10.1039/c3ce40346g,Journal(CrystEngComm)
HOLQIK,12.10808,1385.94,1.0157304208,12.5058110803,8.9506156344,-4.13720634957255,,10.1039/C4CC05265J,Journal(Chemical Communications)
VICSIL,5.30875,1037.02,1.2994574211,7.0791036705,6.0042774914,-4.003004831555128,,10.1039/C3DT50641J,Journal(Dalton Transactions)
LUXWUY,7.5124,1721.61,9.167376152,17.2791396011,9.0812067803,-1.2132052924897094,,10.1002/zaac.201500281,Journal(Zeitschrift fur Anorganische und Allgemeine Chemie)
BOWZUK,8.36121,1152.5901,1.8336739186,10.3550918023,8.904866419,-0.5072019085871929,,10.1021/cm503767r,Journal(Chemistry of Materials)
QUQWUW,9.102,1589.59,0.8026884472,11.6804863575,9.5225476262,-4.264544824461067,,10.1016/j.molstruc.2015.10.046,Journal(Journal of Molecular Structure)
XIRHUC,3.93056,35.8286,1.2187123611,3.6264901727,3.412075708,-3.410607858989392,,10.1107/S1600536807056243,Journal(Acta Crystallographica Section E: Structure Reports Online [2001-2014])
BIMDIL,5.20728,690.998,2.7095929841,5.5370088717,5.3625016195,-3.3581017176231835,,10.1021/ja003159k,Journal(Journal of the American Chemical Society)
CIFMIP,7.90061,1660.3,1.140677609,9.7679906705,7.8028047916,-4.037092983640962,,10.1016/j.micromeso.2013.03.052,Journal(Microporous and Mesoporous Materials)
VALXEO,9.6783,1874.05,1.2160116946,15.6313487418,10.7376129066,-4.051576274806704,,10.1021/jacs.5b13491,Journal(Journal of the American Chemical Society)
c5nj01005e,5.29331,708.62,2.6906816211,5.1303933075,5.0966084841,-3.492996018606465,,"Not a valid ref code, thus does not exist.","Not a valid ref code, thus does not exist."
GIVNOQ,7.18513,2036.0,0.526545577,11.1269077228,9.3453714949,-4.448381684540197,,10.1002/chem.201304319,Journal(Chemistry-A European Journal)
IFAQUC,5.27583,517.391,2.1986995265,3.8085696631,1.9327111108,-2.499199747674828,,10.1021/ic701573r,Journal(Inorganic Chemistry)
NUVBIQ,4.60795,306.221,3.0080243459,3.7251650433,2.2485782416,-0.4948160937489879,,10.1080/00958971003690439,Journal(Journal of Coordination Chemistry)
GACBOE,6.66763,2081.58,1.9200966245,11.438865868,9.284329732,-3.6457916461827886,,"Not a valid ref code, thus does not exist.","Not a valid ref code, thus does not exist."
WUDTUM,7.46451,525.805,1.4066494553,3.1473303787,2.2913451672000003,-2.04574687460309,,10.1039/C5TA00061K,Journal(Journal of Materials Chemistry A)
ECEBEW,4.33858,245.398,0.0382772776,3.2876331253,3.9759248747,-5.569671733606533,,10.1515/znb-2016-0267,"Journal(Zeitschrift fur Naturforschung,B:Chemical Sciences)"
TEWFUY,5.12402,521.015,2.4809590641,5.3921519672,4.5308057414,-3.445671988903177,,10.1021/cg3017563,Journal(Crystal Growth and Design)
RIZNIY,4.34911,405.088,1.9168210158,4.9302703910000005,4.7099580924,-3.418569212037152,,10.1021/cg800244g,Journal(Crystal Growth and Design)
LIDSIC,5.88988,1896.8,4.2170071469,11.1194565255,9.3731539723,-3.3568593379694227,,10.1039/C3CE00061C,Journal(CrystEngComm)
TAKHAR,10.31674,1111.32,0.7838645786,5.4480914136,3.8730889045,-3.89408466275534,,10.1021/acs.inorgchem.5b02193,Journal(Inorganic Chemistry)
SAHBAF,3.95463,69.1889,0.0468652156,2.5653283577,1.5049072754,-5.491724872403334,,10.1021/ic049345z,Journal(Inorganic Chemistry)
WOJZEC,6.29331,1493.44,6.4614196752,10.076457748,7.1041575411,-1.5033788935698778,,10.1039/C4CE00158C,Journal(CrystEngComm)
WESYAV,4.87361,892.498,1.887977082,4.9125989751,3.8358701195,-3.601964457050329,,10.1039/b612660j,Journal(Chemical Communications)
SUHMEP,8.35438,1482.38,0.4441178856,7.9319797922,6.3522531525,-4.510353650107563,,10.1021/ic502895u,Journal(Inorganic Chemistry)
XUCLIS,6.38625,631.913,2.6205513654,5.881190702,5.0992278441,-3.373850640990712,,10.1080/00958972.2015.1019484,Journal(Journal of Coordination Chemistry)
MAZJEC,5.75047,440.395,1.3354381829,3.0610641777,1.4086320618,-3.4158678728999514,,10.1016/S0020-1693(00)00044-X,Journal(Inorganica Chimica Acta)
KEDJAG12,5.63489,2155.46958,0.0949365623,8.4066873155,7.492314720099999,-5.2005388299424204,,"Not a valid ref code, thus does not exist.","Not a valid ref code, thus does not exist."
GAPDUX,4.39272,158.848,0.2925932403,3.1246894839,2.7280903385,-4.676593190636424,,,Journal(Wuji Huaxue Xuebao)
FIRNAX01,7.03668,2255.48,0.5368487863,17.3474202313,13.2325255358,-4.467788509889362,,10.1038/srep03312,Journal(Scientific Reports)
GEGWAS,5.44742,556.693,4.580250273,6.0028746283,3.8932365873,-1.079799948168797,,10.1039/c2ob25395j,Journal(Organic and Biomolecular Chemistry)
ORAJEX,5.3491,223.61,0.6424606660000001,1.5572761596,0.5288093849000001,-3.68056079695395,,10.1016/j.poly.2011.02.051,Journal(Polyhedron)
LUQGAG,6.95292,1293.39,1.4128417352,6.3805856406,5.7300273821,-3.9486506420001777,,10.1039/b917512a,Journal(Energy and Environmental Science)
LAHTUM,7.00326,1417.3,3.1404029598,8.4107605439,6.9505960922,-2.485583750897705,,10.1021/acs.inorgchem.5b02645,Journal(Inorganic Chemistry)
BUVVIZ,5.00001,293.314,0.9271641519,2.7641158884,1.520411705,-3.4123395372756864,,10.1002/cplu.201402030,Journal(ChemPlusChem)
KAFTUI,5.18489,259.509,1.8877904203,2.5526950491,2.2255266998,-2.8496642468231603,,10.1021/cg9014948,Journal(Crystal Growth and Design)
RAHPAT,0.0,2196.57,0.8420419949,20.3071060591,16.4575514219,-4.22719731447944,,10.1002/chem.201101341,Journal(Chemistry-A European Journal)
MAJHUC,5.7525200000000005,316.673,2.1802623087,3.4521690258,1.4429716304,-2.7278264128361136,,10.1016/j.poly.2010.08.018,Journal(Polyhedron)
ja5b02556,4.73869,466.62,2.4347308076,4.5722258413,3.8088742676,-3.2109392012438214,,"Not a valid ref code, thus does not exist.","Not a valid ref code, thus does not exist."
HIZQUD,6.30539,1102.78,2.913604578,5.5341292883,4.0259740678,-3.0116015923145265,,10.1039/b718947h,Journal(Dalton Transactions)
VOFFED,6.3407,723.707,0.5877245145000001,3.9051703401,3.0525931323,-4.417311793700022,,10.1016/j.inoche.2013.09.041,Journal(Inorganic Chemistry Communications)
UXOWIO,5.03439,292.686,2.7004115365,6.3335783545,4.8811217836,-3.4305722458896177,,10.1088/1367-2630/10/8/083025,Journal(New Journal of Physics)
FUYKER,6.42799,995.31,2.6627421209,6.0877483357,5.3420113671,-2.8468073079434304,,10.1002/chem.201502532,Journal(Chemistry-A European Journal)
WENLEI,7.45284,519.589,1.7287524758,3.4087728044,2.4449843744,-2.2015689738991893,,10.1039/c2dt32390g,Journal(Dalton Transactions)
DEPXAY,5.29628,1400.08,7.7808169813,12.0496967803,8.5842118926,-1.8957451207738003,,10.1016/j.molstruc.2006.02.048,Journal(Journal of Molecular Structure)
ILEPEW,5.27444,622.4,3.5314396641,5.2155980533,3.9896279307,-1.756694012246142,,10.1021/acs.inorgchem.6b00111,Journal(Inorganic Chemistry)
MUWQEB,15.66484,1644.807,2.1721317491,19.0007438484,11.9672498113,-3.683030040285476,,10.1039/c0sc00179a,Journal(Chemical Science)
OBIBOT,6.67176,1233.12,4.70989646,8.1389556324,5.5217434056,-2.195707194030568,,10.1039/C6CE01821A,Journal(CrystEngComm)
jacs.6b02030,6.78187,1110.56,0.178326628,3.7961757221,3.2297132542,-4.936385210334069,,"Not a valid ref code, thus does not exist.","Not a valid ref code, thus does not exist."
XUPSAE,6.99773,1380.87,7.2332322016,11.2579718114,9.7584674917,-3.24406419499306,,10.1038/nchem.2114,Journal(Nature Chemistry)
ROCZAM,5.6803,2016.19,1.7939769715,8.9756732838,7.1670105426,-3.334584128550638,,10.1039/C4CE00347K,Journal(CrystEngComm)
ECOGEI,4.77299,798.213,3.8188871644,7.5754645658,7.1022452142,-3.2543686372122904,,10.1021/ja0116324,Journal(Journal of the American Chemical Society)
RAYKIN,9.49471,990.788,0.5813598171000001,6.8409804854,5.6119194205,-4.377874088670538,,10.1039/c2cc32103c,Journal(Chemical Communications)
GELVEZ,3.84426,19.665,0.2404878576,4.1717575612,3.8410244867,-4.804139076214021,,10.1016/j.solidstatesciences.2006.04.013,Journal(Solid State Sciences)
jz4002345,8.70009,1340.502,0.4314904292,5.1399902323,5.048456983,-4.464471702640329,,"Not a valid ref code, thus does not exist.","Not a valid ref code, thus does not exist."
OTOVIE,5.10968,667.343,2.3749410444,4.2091259163,3.2964324936,-3.158778223973396,,10.1021/acs.inorgchem.6b00758,Journal(Inorganic Chemistry)
AGAYIQ,4.02834,41.1267,1.2068536318,1.7337661179,1.4814244205,-3.531006140919728,,10.1073/pnas.082051899,Journal(Proceedings of the National Academy of Sciences of the United States of America)
KINNIG,5.23856,2351.12,3.520315811,11.8858889142,10.3623012717,-3.385978580077357,,10.1021/cg400420h,Journal(Crystal Growth and Design)
NIGFOZ,7.49823,2287.83,5.6530819234,11.7368822223,7.5903432622,-2.182730871373866,,10.1021/ic061666i,Journal(Inorganic Chemistry)
WENKOR,7.34523,450.223,0.9895156408,3.0587309696,2.4143139533,-2.697712373023788,,10.1039/c2dt32390g,Journal(Dalton Transactions)
LOZSAW,4.38663,361.386,0.0474595953,4.2250670309,6.5422306636,-5.502500886823697,,10.1039/C4CC08693G,Journal(Chemical Communications)
HAFSOZ,6.82545,826.548,4.1684459724,8.3996068516,5.5918447648,-2.9091426040184665,,10.1039/C6QI00362A,Journal(Inorganic Chemistry Frontiers)
EGOZAB,7.0311,1484.88,0.9912172824,9.8423912279,7.742842184,-4.162542248515232,,10.1002/1099-0682(200208)2002:8<1945::AID-EJIC1945>3.0.CO;2-O,Journal(European Journal of Inorganic Chemistry)
UWELIS,5.99371,1691.66,1.7787759503,11.0106082952,9.6962479055,-3.908466692038207,,10.1002/zaac.201100082,Journal(Zeitschrift fur Anorganische und Allgemeine Chemie)
KEVWUF,9.52723,1832.91,4.8016966958000005,14.7041922922,7.8611686638,-2.9100454594813367,,10.1002/ejic.201201275,Journal(European Journal of Inorganic Chemistry)
UKUPUL,6.90717,1235.9,7.4100781698,8.5669295012,5.2513317088,-0.1976156043789593,,10.1021/ja0365173,Journal(Journal of the American Chemical Society)
MOVKOZ,5.21247,1471.47,3.9046804706,8.6927571663,7.2592895867,-0.9903239413711548,,10.1039/C4CC09081K,Journal(Chemical Communications)
HIYYEU,4.58192,311.9974,0.7685922285,3.9934397025,3.3899660995,-4.214644535251499,,10.1016/j.inoche.2007.12.029,Journal(Inorganic Chemistry Communications)
IVOCON,5.24294,1292.58,0.5580827235,6.3321208495,5.607874661,-4.417701363242455,,10.1016/j.inoche.2016.08.025,Journal(Inorganic Chemistry Communications)
EPEYAB,8.46111,946.281,1.1776114354,5.707258101,5.0262266995,-3.84398116907835,,10.1021/acs.cgd.6b00548,Journal(Crystal Growth and Design)
JOSTIU,7.28051,962.153,5.9718482481,8.9209035696,3.3965036858,-2.2197165396611376,,10.1107/S010827019200060X,"Journal(Acta Crystallographica,Section C: Crystal Structure Communications [1983-2014])"
VAHJEW,5.94599,1104.96,1.8344741849,7.4144491605,6.3140934668,-3.693099117808507,,10.1016/j.inoche.2016.01.002,Journal(Inorganic Chemistry Communications)
TAWYUO,7.27421,1067.812,1.6692975518000002,8.7651037141,7.2013844628,-3.878157939701651,,10.1002/ejic.201601100,Journal(European Journal of Inorganic Chemistry)
ETUWEW,4.93842,1922.52,1.9938852913,6.8754832489,4.7696543864,-1.335977947337301,,10.1107/S1600536811020058,Journal(Acta Crystallographica Section E: Structure Reports Online [2001-2014])
WUSXEP,10.27954,1925.0562,1.3543953644,16.8687781055,12.0971813988,-3.729041814907903,,"Not a valid ref code, thus does not exist.","Not a valid ref code, thus does not exist."
ZEFVEN,5.14656,273.045,1.2259078985,1.5195387705,1.278681077,-3.1722315146662337,,10.1039/c2ce25859e,Journal(CrystEngComm)
VUWRUC,8.86215,1334.74,4.6681228001,9.1435316628,6.5488601839000005,-2.670874784484224,,10.1039/C5RA10799G,Journal(RSC Advances)
LAHVAU,7.77112,1569.1642,2.0079353057,9.7755655432,7.9297039951,-3.3687064335544736,,10.1021/acs.inorgchem.5b02645,Journal(Inorganic Chemistry)
ZILBAZ,4.9863,733.328,3.1245258725,7.7725413281,5.0715879547,-3.0716768776730023,,10.1039/C3CE41064A,Journal(CrystEngComm)
MEQHUL,6.03972,864.152,1.2651681759,3.9972337808,1.8505268182,-3.74743578594669,,10.1006/jssc.1999.8268,Journal(Journal of Solid State Chemistry)
YUXQIS,17.65359,1738.12,0.3730489218,14.3187385321,12.1802084521,-4.6107931470466825,,10.1021/ja101541s,Journal(Journal of the American Chemical Society)
IXOFIL,7.14051,1475.61,0.4933257188,10.0816406635,8.4798654574,-4.502916854573632,,10.1021/ic1025087,Journal(Inorganic Chemistry)
OLOGEC,13.04043,2015.25,1.4441183681,22.029498052,16.4396930998,-3.646917013726896,,10.1039/c0cc04146g,Journal(Chemical Communications)
ja205976v,11.60788,1453.79,2.1405045944,11.6949096284,8.1168100456,-3.85757924578044,,"Not a valid ref code, thus does not exist.","Not a valid ref code, thus does not exist."
c5ce00931f,5.29408,894.455,0.7951827316000001,3.7373473731,3.6435247,-4.1567715835614445,,"Not a valid ref code, thus does not exist.","Not a valid ref code, thus does not exist."
LAWGUO,7.18197,652.686,2.3876835063,3.7726337158,2.4077656956,-2.5548131689772617,,"Not a valid ref code, thus does not exist.","Not a valid ref code, thus does not exist."
WEYQAU08,4.54883,947.374,1.179245493,7.5040051084,7.3858762444,-4.041884498022273,,10.1107/S2052520614003497,"Journal(Acta Crystallographica Section B: Structural Science, Crystal Engineering and Materials)"
ROQNES03,5.26218,631.616,0.0690847753,3.6828558772,4.4908745955,-5.339068150182203,,10.1021/cg5004676,Journal(Crystal Growth and Design)
DEJCEB,4.6846,625.705,3.9260419233,6.2563684948,4.9262460235,-1.925746898889632,,10.1021/cg060087l,Journal(Crystal Growth and Design)
SOYWUZ,13.18202,1954.43,0.4389017499,13.8083091201,10.3030547161,-4.446553913791745,,10.1021/ja807357r,Journal(Journal of the American Chemical Society)
OPAGIX,11.70127,1457.25,6.4299178685000005,15.13947266,10.9205994309,-3.1070532349974487,,10.1016/j.micromeso.2016.06.014,Journal(Microporous and Mesoporous Materials)
acs.inorgchem.6b00505,6.12211,581.654,2.7422322492,3.9884849161,2.3223444723,-2.1023146401944706,,"Not a valid ref code, thus does not exist.","Not a valid ref code, thus does not exist."
AXIPEE,6.41608,1057.51,0.6766353101,5.3635649401,4.5759156488,-4.344864447683683,,10.1002/anie.201605418,"Journal(Angewandte Chemie, International Edition)"
IQEKOG,6.56789,1776.19,4.3202082717,11.8519146972,8.8271851563,-2.513658798028692,,10.1016/j.inoche.2016.06.032,Journal(Inorganic Chemistry Communications)
cg901114e,4.97956,893.706,3.3424736471,4.4967128254,2.9541486706,-1.4509452145666706,,"Not a valid ref code, thus does not exist.","Not a valid ref code, thus does not exist."
RUDQUD,5.30276,790.415,3.9059620407,5.6755466637000005,2.3139650157,-2.626720106722504,,10.1021/ic900346p,Journal(Inorganic Chemistry)
NIKKIC,5.94413,938.149,2.1281080025,5.3095042411,4.5406222452,-1.3523608325977363,,10.1039/b703698a,Journal(Dalton Transactions)
HUYJUG,9.25956,1071.509,1.7454896958,8.629122024299999,6.9412711303,-3.880879436315352,,10.1021/ic025775i,Journal(Inorganic Chemistry)
UMOYOM07,9.75529,2722.27,0.4380102008,24.2926955782,19.1297356452,-4.533434860638898,,10.1002/anie.201603030,"Journal(Angewandte Chemie, International Edition)"
HUQHAE,10.11008,1760.07,0.6844651573,16.2351299298,13.0763884451,-4.283989974963029,,10.1002/chem.201502758,Journal(Chemistry-A European Journal)
LOJLAZ01,6.41625,1252.3,0.3942998217,4.5579374435,3.4760858157,-4.589401580964119,,10.1002/anie.201402951,"Journal(Angewandte Chemie, International Edition)"
VEHNED,3.81176,1.21208,3.4136083804,3.4540172699,3.2481755838,-0.6070200563219871,,10.1039/c2ce25434d,Journal(CrystEngComm)
XAPCUN,8.23812,1603.57,0.6256831263,8.3440400856,6.6948615908,-4.333092826418367,,10.1002/anie.200462201,"Journal(Angewandte Chemie, International Edition)"
FAVKAP,6.87609,1863.19,0.3403743954,9.8353692819,6.67819845,-4.648864911118024,,10.1002/anie.200454250,"Journal(Angewandte Chemie, International Edition)"
NAVLIG,4.05904,152.191,1.7284711021,3.3933636623,4.4952493411,-3.445661082203461,,10.1039/b506786c,Journal(Journal of Materials Chemistry)
LOMLUV,4.32302,102.277,1.7793296796,2.4688499866,1.6389208278,-1.3822314067683537,,,Journal(Zeitschrift fur Kristallographie - New Crystal Structures)
CIFJAE,5.80851,1164.44,4.730524334,8.1598602809,5.7356068942,-2.447846673205605,,10.1016/j.ica.2013.03.042,Journal(Inorganica Chimica Acta)
COWRAJ,5.49804,530.892,3.4436053323,5.9446642493,4.5019312886,-1.605226220160784,,10.1002/zaac.201400388,Journal(Zeitschrift fur Anorganische und Allgemeine Chemie)
QAWPIO,5.34571,669.5671,6.3256495272,7.1377049891,4.1807400798,-0.4505687885130042,,10.1039/b508930a,Journal(Chemical Communications)
cm501138g,13.22876,1894.72,0.8392273240000001,14.5088527422,10.9756509443,-3.913583216406424,,"Not a valid ref code, thus does not exist.","Not a valid ref code, thus does not exist."
HUJVOX,5.27825,1243.71,1.6231674145,11.8164290708,10.5576535241,-3.9490212300982064,,10.1016/S0020-1693(02)00902-7,Journal(Inorganica Chimica Acta)
DIMKER,6.00256,447.352,2.2146057109,2.8499284346,1.7342012874,-1.792810116589323,,10.1021/cg4009587,Journal(Crystal Growth and Design)
